지역,인구수,개업률,폐업률,점포수,평균영업기간,신생기업_생존율_1년,신생기업_생존율_3년,신생기업_생존율_5년,연차별_생존율_1년,연차별_생존율_3년,연차별_생존율_5년,임대시세
종로구,23431.51338456086,296,273,7016,2.8666666666666663,74.6,46.9,32.8,75.4,32.3,46.4,182579
중구,53410.04982867668,224,223,6607,2.8833333333333333,73.8,46.7,32.8,71.1,32.0,45.2,217674
용산구,26421.107609360657,205,181,5022,2.7333333333333334,76.8,45.9,30.4,71.7,30.1,44.0,112476
성동구,40311.923407366696,196,148,4000,2.6666666666666665,75.3,41.6,30.9,75.9,30.2,46.4,105364
광진구,58190.11821095787,241,210,5118,2.658333333333333,72.7,42.7,24.8,67.3,24.3,36.1,90942
동대문구,73617.71443912051,235,201,5095,2.6916666666666664,72.5,40.3,25.6,69.7,25.1,39.7,103919
중랑구,53059.78343509993,206,206,4344,2.55,68.6,38.1,21.1,62.2,21.0,31.8,69724
성북구,45627.24987974912,196,197,4843,2.6916666666666664,74.5,42.3,26.8,68.8,26.4,39.2,90865
강북구,37080.3690526649,184,209,3915,2.558333333333333,68.5,34.8,22.2,63.9,21.5,34.4,80677
도봉구,32054.07618494801,140,140,3061,2.6,72.3,41.5,22.4,65.8,22.0,33.6,81116
노원구,26569.702400658447,168,184,4575,2.6666666666666665,71.1,40.8,29.1,70.8,28.9,41.7,104677
은평구,40315.19273379065,228,186,4618,2.5166666666666666,71.2,38.4,20.7,65.7,20.3,32.5,84483
서대문구,54715.52854118732,211,197,4567,2.6916666666666664,71.3,43.8,24.1,70.5,23.1,38.6,104580
마포구,47048.84543011885,481,444,9095,2.533333333333333,71.6,42.5,24.3,71.0,24.0,39.4,117935
양천구,48222.05739767454,185,181,4015,2.583333333333333,70.2,37.5,25.2,66.1,24.8,37.4,92311
강서구,28793.753728571224,340,271,6203,2.45,73.6,39.7,24.0,63.9,23.5,35.1,103542
구로구,37897.52974832979,231,220,5144,2.575,72.4,40.9,23.1,66.7,22.9,35.4,96555
금천구,30595.371874916764,184,168,3512,2.6083333333333334,68.4,39.1,23.7,65.0,23.3,36.6,83004
영등포구,41385.1037602913,300,261,7562,2.6416666666666666,76.8,40.5,26.7,69.1,26.5,39.8,94521
동작구,54972.18658558864,209,178,4339,2.7,77.5,43.3,30.6,69.4,29.8,42.8,100155
관악구,44862.787246598105,291,278,5725,2.5166666666666666,68.4,36.7,23.4,65.6,22.9,35.3,95143
서초구,21661.012158656,272,281,7866,2.7333333333333334,75.1,44.4,28.1,73.0,27.1,41.4,113964
강남구,34893.65544313371,606,557,12826,2.5666666666666664,71.3,39.0,22.9,67.2,22.5,34.9,132945
송파구,36802.42278657126,388,309,8100,2.533333333333333,72.4,40.2,25.8,67.4,25.5,38.3,108372
강동구,46251.02196853868,247,228,5310,2.5416666666666665,73.0,40.3,23.7,67.4,23.2,36.4,85699
