구,한식,일식,양식,중식,카페
중구,4.2087120896227725,4.995817808531671,4.742217898832685,4.614549402823019,6.697653829127932
송파구,6.27507667787878,6.121207512736674,3.6819066147859925,4.419109663409337,3.5104028331119967
강동구,3.8352838703101395,2.843890198463995,1.8093385214007784,3.040173724212812,1.0934041611332448
종로구,4.182766704658123,3.535852786860315,7.465953307392996,2.812160694896851,8.86232846392209
용산구,2.5028030281970737,3.680328492129876,7.607003891050583,2.269272529858849,9.220894200973882
구로구,3.4136713646345873,2.372443160215953,1.1575875486381324,7.024972855591748,1.0889774236387781
강서구,6.000796893966771,5.748612272830964,5.257782101167315,5.03800217155266,1.1775121735281098
강남구,9.814768483770235,15.557752262185383,26.011673151750976,8.512486427795874,4.9756529437804335
중랑구,3.1430980642889574,1.9466200288951412,0.8463035019455253,2.041259500542888,3.289065958388668
성동구,3.0837943272269017,2.6461866017793323,2.825875486381323,2.1172638436482085,6.8348826914563965
동대문구,3.8732753268655196,2.349631206752338,1.8142023346303504,3.441910966340934,5.475874280655157
성북구,2.9929854798506286,2.3800471447038247,1.91147859922179,2.8555917480998914,7.104913678618859
도봉구,2.165513023656631,1.8249562770891947,0.943579766536965,1.6938110749185669,1.491810535635237
은평구,4.167940770392609,2.897118089879097,1.527237354085603,2.5624321389793705,1.1199645861000442
마포구,4.981513913212687,8.828225990418979,6.361867704280155,5.320304017372422,6.131031429836211
관악구,4.297667695215857,3.878032088814539,3.934824902723735,4.1042345276872965,1.3634351482957061
서초구,5.018578748876472,5.261957265607179,5.851167315175097,4.679695982627579,2.6516157591854803
양천구,2.59824498003132,2.2811953463614936,1.1284046692607004,2.757871878393051,1.3103142983621072
영등포구,5.713544417572439,5.5889285985856585,3.453307392996109,11.118349619978286,7.246569278441789
동작구,2.3184054707697443,2.1367196410919322,1.5904669260700388,2.44299674267101,4.847277556440903
광진구,3.502626970227671,4.509162801307885,2.6945525291828796,4.929424538545059,3.386454183266932
서대문구,3.080087843660523,2.6461866017793323,3.988326848249027,3.0618892508143323,1.447543160690571
금천구,2.938314847246546,1.5055889285985855,0.9824902723735408,4.429967426710098,0.6108897742363878
노원구,2.933681742788573,2.6994144931944337,1.551556420233463,2.812160694896851,3.696325807879593
강북구,2.956847265078438,1.7641244011862216,0.8608949416342413,1.9001085776330078,5.365205843293492
