,2018,2019,2020,2021,2022,2023
종로구,46.9,51.3,49.3,55.9,57.3,59.2
중구,46.7,51.4,49.8,55.1,56,64
용산구,45.9,46.4,51.2,51.9,55.7,59.8
성동구,41.6,45.9,48.8,49.6,53,54.9
광진구,42.7,44.1,46.5,48.7,52.7,45.9
동대문구,40.3,41.6,45.1,45.8,51.5,51.8
중랑구,38.1,38.9,41.7,44.3,45.6,45.1
성북구,42.3,41.4,47.1,51.3,57.9,52.7
강북구,34.8,38.2,41.2,44,48.2,45
도봉구,41.5,42.9,42.9,47,50.5,49.3
노원구,40.8,44.7,46.2,47.7,50.7,47.9
은평구,38.4,41.6,42,47.8,48.5,48.1
서대문구,43.8,45.8,43.5,48,50.2,54.9
마포구,42.5,41.9,42.7,48.2,49.9,49
양천구,37.5,40.9,46.1,46.6,49,47
강서구,39.7,42.9,44.6,47.3,46.9,44.6
구로구,40.9,40.5,44.7,46.5,48,49.9
금천구,39.1,40.6,44.1,49.4,50.9,51.2
영등포구,40.5,44.7,47.9,51.7,52.1,52.4
동작구,43.3,45.7,47.8,48.9,52.2,51.1
관악구,36.7,38,41.1,46,49.9,43.3
서초구,44.4,46.7,50.1,52.8,53.7,55.6
강남구,39,42.7,44.7,48.7,50.2,51.1
송파구,40.2,44.5,45.5,49.5,48.1,47.6
강동구,40.3,40.9,44.1,45.2,48.7,45.5
