,2018,2019,2020,2021,2022,2023
종로구,74.6,78.3,81.4,83.5,80.5,80.8
중구,73.8,78.5,79.1,85.4,81.3,80.3
용산구,76.8,78.4,79.9,84.3,84.6,84.4
성동구,75.3,77.4,78.4,80.5,82.6,80.2
광진구,72.7,74.7,76.4,76.3,76.2,77.2
동대문구,72.5,71.8,79.8,79.7,76.4,74.7
중랑구,68.6,71.6,71.1,75.8,74.4,70.7
성북구,74.5,76.8,80.8,80.9,79.1,77.3
강북구,68.5,69.5,76.2,72.2,73.4,72
도봉구,72.3,72.8,76.9,79.1,75.1,76.2
노원구,71.1,71.8,79.5,75.9,73.7,77.3
은평구,71.2,71.7,76.2,75.2,74.8,73.8
서대문구,71.3,75.6,79.1,81.4,78.9,80
마포구,71.6,76.7,76.6,78.9,77,76.4
양천구,70.2,74.6,76.3,79.3,73.4,76
강서구,73.6,75.3,75.2,75.7,73.7,73.2
구로구,72.4,70.6,76.6,79.6,76.7,76.5
금천구,68.4,74.6,75.9,79.9,75.8,72.6
영등포구,76.8,76.6,77.2,79.5,78.8,75
동작구,77.5,74,79.3,78.7,79.8,78.6
관악구,68.4,73,75.1,72.4,71.1,74.3
서초구,75.1,76.5,78,80.8,77,78.6
강남구,71.3,75,74.8,77,74.7,74.6
송파구,72.4,73.7,74.7,75.3,72.3,72.5
강동구,73,71.4,75.3,77.3,71.4,74.7
