지역,인구수,개업률,폐업률,점포수,평균영업기간,신생기업_생존율_1년,신생기업_생존율_3년,신생기업_생존율_5년,연차별_생존율_1년,연차별_생존율_3년,연차별_생존율_5년,임대시세
종로구,28805.111774016157,232,211,7030,3.0666666666666664,80.8,59.2,43.3,76.5,42.2,54.7,201913
중구,61104.59929920496,236,185,6653,3.0083333333333333,80.3,64.0,42.0,76.9,41.5,54.4,276336
용산구,29281.677795906176,177,168,5508,2.95,84.4,59.8,40.0,75.2,39.2,51.2,137168
성동구,44452.34273274414,210,150,4782,2.75,80.2,54.9,35.2,75.9,34.9,48.4,183176
광진구,54929.83047480373,222,212,5385,2.7333333333333334,77.2,45.9,33.5,72.2,32.4,47.9,105832
동대문구,75622.34646358434,214,175,5051,2.7333333333333334,74.7,51.8,34.4,69.4,33.6,45.0,91323
중랑구,52823.75630979608,214,204,4391,2.583333333333333,70.7,45.1,31.2,69.5,30.9,43.7,89367
성북구,49401.94609172531,190,189,4815,2.85,77.3,52.7,37.3,74.8,36.4,51.1,111041
강북구,40406.00719995767,145,158,3879,2.5916666666666663,72.0,45.0,30.9,67.6,30.6,43.4,82972
도봉구,30856.82193732456,122,125,3009,2.725,76.2,49.3,34.0,71.9,33.3,46.6,131424
노원구,27312.508759140856,181,183,4603,2.7916666666666665,77.3,47.9,34.7,70.1,34.1,47.2,112598
은평구,33547.930644073815,216,202,4806,2.6333333333333333,73.8,48.1,33.1,69.7,32.6,46.7,94233
서대문구,54786.49384852182,166,143,4552,2.808333333333333,80.0,54.9,35.0,72.6,34.7,46.5,140149
마포구,48764.31198008267,453,394,10026,2.7,76.4,49.0,35.5,74.6,35.1,47.4,138163
양천구,44776.665537610206,198,205,4089,2.6416666666666666,76.0,47.0,32.4,73.2,31.6,46.0,114166
강서구,27672.198090924718,395,348,7251,2.5666666666666664,73.2,44.6,32.9,72.5,32.4,46.9,125771
구로구,39957.605430467374,230,206,5025,2.725,76.5,49.9,31.4,68.0,30.7,46.4,133081
금천구,28092.28352385268,176,161,3787,2.6333333333333333,72.6,51.2,36.1,71.9,35.3,49.0,105720
영등포구,45275.75172222748,359,328,8007,2.8,75.0,52.4,37.9,75.4,37.7,51.3,116895
동작구,50315.23152032472,162,139,4271,2.8666666666666663,78.6,51.1,33.9,72.8,33.2,48.1,141411
관악구,43573.22585573248,300,280,5910,2.575,74.3,43.3,31.1,70.3,30.7,45.4,117480
서초구,20752.742849003425,286,225,7437,2.925,78.6,55.6,40.5,74.4,39.8,51.8,135964
강남구,36593.087478053145,604,537,14037,2.7333333333333334,74.6,51.1,36.6,72.6,36.0,48.1,171151
송파구,36365.43642153482,423,382,8856,2.6666666666666665,72.5,47.6,34.9,71.4,34.3,49.1,128877
강동구,43863.00329474242,264,227,5370,2.6416666666666666,74.7,45.5,31.9,68.6,31.3,44.6,121075
