,2018,2019,2020,2021,2022,2023
종로구,32.3,33.9,35.7,37.6,38.9,42.2
중구,32,31.2,36.3,38.2,35.7,41.5
용산구,30.1,34.4,30.3,33.1,37.5,39.2
성동구,30.2,29.8,30,31.1,34.9,34.9
광진구,24.3,24.7,29.9,33.1,32.4,32.4
동대문구,25.1,27.6,27,30.3,33.7,33.6
중랑구,21,23.9,26.3,28.1,30.1,30.9
성북구,26.4,31.5,29.4,27.6,34.1,36.4
강북구,21.5,23.6,25.4,25.9,31.6,30.6
도봉구,22,26.3,28.6,31.5,30.8,33.3
노원구,28.9,27.7,29.8,31.8,33.2,34.1
은평구,20.3,24.8,26.8,29.2,29.6,32.6
서대문구,23.1,30.3,31.3,32.6,32.1,34.7
마포구,24,25.9,27.9,29.6,29.9,35.1
양천구,24.8,23.4,24.8,27.8,32.8,31.6
강서구,23.5,25.5,26.7,30.4,31.8,32.4
구로구,22.9,24.9,28.7,30.4,32.6,30.7
금천구,23.3,23,27.4,29.2,31.9,35.3
영등포구,26.5,28.7,28.6,32.5,36.2,37.7
동작구,29.8,28.9,29.1,32.9,33.8,33.2
관악구,22.9,24.1,24.5,25.9,28.7,30.7
서초구,27.1,28.7,30,32.3,37.3,39.8
강남구,22.5,28.7,28.5,31.3,33,36
송파구,25.5,27.7,29.7,31.5,32.7,34.3
강동구,23.2,23.9,25.9,29.1,31.9,31.3
