지역,인구수,개업률,폐업률,점포수,평균영업기간,신생기업_생존율_1년,신생기업_생존율_3년,신생기업_생존율_5년,연차별_생존율_1년,연차별_생존율_3년,연차별_생존율_5년,임대시세
종로구,29281.202392012052,249,230,6989,3.0166666666666666,80.5,57.3,39.3,73.1,38.9,48.3,195850
중구,60951.08365323154,202,186,6540,2.9916666666666663,81.3,56.0,36.2,73.4,35.7,48.9,275398
용산구,29431.92385209221,218,160,5436,2.8916666666666666,84.6,55.7,38.3,75.6,37.5,50.7,142406
성동구,44599.49487497894,211,179,4635,2.708333333333333,82.6,53.0,35.5,74.8,34.9,48.0,178968
광진구,54298.63616858428,235,233,5392,2.683333333333333,76.2,52.7,32.8,70.9,32.4,46.1,112871
동대문구,75053.7054568433,196,177,5040,2.6916666666666664,76.4,51.5,34.3,71.1,33.7,44.2,95276
중랑구,53077.13641924922,182,192,4363,2.533333333333333,74.4,45.6,30.4,66.6,30.1,41.0,85954
성북구,49193.04491753717,184,175,4852,2.8,79.1,57.9,34.6,72.8,34.1,46.5,102762
강북구,41080.98735183883,163,181,3912,2.5166666666666666,73.4,48.2,31.7,67.9,31.6,41.1,90159
도봉구,31369.63622509861,118,114,3076,2.65,75.1,50.5,31.2,69.3,30.8,42.2,91737
노원구,27243.512229144137,174,200,4636,2.75,73.7,50.7,33.8,69.3,33.2,45.2,121581
은평구,33545.13325790825,194,210,4863,2.55,74.8,48.5,30.4,69.1,29.6,41.4,101765
서대문구,53890.69041008025,149,160,4530,2.775,78.9,50.2,32.6,69.6,32.1,42.8,119913
마포구,48833.53259692961,429,365,9856,2.658333333333333,77.0,49.9,30.3,69.8,29.9,42.2,163022
양천구,44180.69719738239,176,184,4112,2.6,73.4,49.0,32.9,69.2,32.8,45.4,108895
강서구,27782.156569223607,327,339,7203,2.5083333333333333,73.7,46.9,32.4,73.4,31.8,44.2,122702
구로구,39370.65021656647,211,196,5025,2.65,76.7,48.0,33.3,71.3,32.6,44.3,138304
금천구,29219.596438847075,149,161,3756,2.5916666666666663,75.8,50.9,32.3,67.3,31.9,43.6,96098
영등포구,44882.11490393842,303,300,7865,2.75,78.8,52.1,36.7,74.0,36.2,46.9,115800
동작구,52810.895234347234,171,175,4286,2.8416666666666663,79.8,52.2,34.2,77.0,33.8,46.6,131421
관악구,43965.87011686039,259,270,5908,2.525,71.1,49.9,29.7,66.1,28.7,40.4,107209
서초구,21029.477214783423,265,259,7492,2.875,77.0,53.7,38.4,73.4,37.3,48.6,138922
강남구,36727.94928524133,520,490,13989,2.675,74.7,50.2,33.8,70.1,33.0,43.9,174260
송파구,36607.65584472055,380,377,8786,2.625,72.3,48.1,33.2,71.2,32.7,45.0,172451
강동구,44086.22456846795,211,255,5357,2.583333333333333,71.4,48.7,32.4,72.0,31.9,42.8,112843
