지역,인구수,개업률,폐업률,점포수,평균영업기간,신생기업_생존율_1년,신생기업_생존율_3년,신생기업_생존율_5년,연차별_생존율_1년,연차별_생존율_3년,연차별_생존율_5년,임대시세
종로구,27756.1419688072,220,252,6898,3.0,81.4,49.3,36.3,74.0,35.7,48.3,167010
중구,58265.87762467175,194,232,6580,3.0083333333333333,79.1,49.8,37.0,75.4,36.3,47.5,240380
용산구,30340.053095484072,163,170,5140,2.8833333333333333,79.9,51.2,30.7,73.6,30.3,46.3,118621
성동구,45775.13801190173,207,133,4346,2.775,78.4,48.8,30.1,69.6,30.0,41.1,105462
광진구,56306.43556289509,230,197,5170,2.7333333333333334,76.4,46.5,30.5,71.6,29.9,44.0,94783
동대문구,75893.85508661033,190,173,4927,2.75,79.8,45.1,27.2,66.5,27.0,39.8,88218
중랑구,56865.1928452592,199,193,4243,2.6,71.1,41.7,26.8,66.7,26.3,38.1,84466
성북구,50325.39275292472,184,155,4674,2.808333333333333,80.8,47.1,29.6,69.1,29.4,42.9,88230
강북구,43395.07538381703,169,176,3863,2.575,76.2,41.2,25.9,66.7,25.4,36.4,80015
도봉구,32805.12474229578,141,127,3032,2.675,76.9,42.9,29.2,66.8,28.6,41.4,76544
노원구,30033.721415878477,193,174,4615,2.783333333333333,79.5,46.2,29.9,67.9,29.8,41.9,100010
은평구,35130.111115300766,233,175,4716,2.6,76.2,42.0,27.2,66.3,26.8,39.3,90367
서대문구,53006.49836631083,149,155,4430,2.808333333333333,79.1,43.5,31.9,72.8,31.3,44.6,101811
마포구,48955.34673471358,419,416,9266,2.683333333333333,76.6,42.7,28.3,70.6,27.9,42.0,128470
양천구,47207.85124407994,198,162,4033,2.683333333333333,76.3,46.1,24.9,64.8,24.8,38.2,96121
강서구,29086.27504407737,389,278,6783,2.583333333333333,75.2,44.6,27.1,67.5,26.7,39.7,101248
구로구,40283.63864221645,184,182,4888,2.683333333333333,76.6,44.7,28.7,67.8,28.7,40.7,107811
금천구,30039.18369278065,164,139,3557,2.6333333333333333,75.9,44.1,27.6,65.8,27.4,39.5,103833
영등포구,43974.42113009003,343,319,7613,2.7416666666666663,77.2,47.9,28.8,68.1,28.6,41.3,106710
동작구,54343.17458191601,164,143,4334,2.8666666666666663,79.3,47.8,29.7,70.0,29.1,42.8,109551
관악구,45364.215163372224,283,256,5861,2.5666666666666664,75.1,41.1,24.5,65.5,24.5,36.7,102648
서초구,21285.160465497112,269,275,7501,2.8833333333333333,78.0,50.1,30.3,70.9,30.0,44.4,125049
강남구,36213.127270982906,540,512,13393,2.683333333333333,74.8,44.7,28.9,68.3,28.5,39.8,144513
송파구,37943.70280183136,385,363,8440,2.6416666666666666,74.7,45.5,30.0,67.4,29.7,41.1,129797
강동구,44962.00661320003,257,203,5294,2.6166666666666663,75.3,44.1,26.2,68.1,25.9,40.4,102027
