지역,인구수,개업률,폐업률,점포수,평균영업기간,신생기업_생존율_1년,신생기업_생존율_3년,신생기업_생존율_5년,연차별_생존율_1년,연차별_생존율_3년,연차별_생존율_5년,임대시세
종로구,32045.967400682825,268,235,6998,3.0166666666666666,78.3,51.3,34.1,75.7,33.9,50.7,188430
중구,66850.68411235831,267,214,6652,3.1,78.5,51.4,31.8,70.8,31.2,43.4,228567
용산구,31964.735287939555,219,155,5119,2.95,78.4,46.4,34.9,74.0,34.4,46.2,110863
성동구,47914.55138868972,231,166,4157,2.8833333333333333,77.4,45.9,30.3,70.8,29.8,41.8,102582
광진구,57623.24604315444,240,213,5078,2.8416666666666663,74.7,44.1,25.3,70.2,24.7,40.1,97741
동대문구,79059.14247131858,243,226,4899,2.833333333333333,71.8,41.6,28.2,69.1,27.6,42.5,81959
중랑구,55522.583377313545,213,199,4186,2.675,71.6,38.9,24.2,64.1,23.9,37.0,72084
성북구,52075.3321929695,194,194,4637,2.8666666666666663,76.8,41.4,31.8,72.4,31.5,45.0,85384
강북구,44053.99650540664,230,177,3820,2.675,69.5,38.2,24.5,64.3,23.6,36.4,85163
도봉구,32863.52202882692,152,129,2983,2.7416666666666663,72.8,42.9,26.8,66.8,26.3,40.5,77091
노원구,30364.401404644752,249,208,4553,2.85,71.8,44.7,28.0,72.0,27.7,44.2,102403
은평구,34726.80220207456,257,221,4548,2.683333333333333,71.7,41.6,25.6,65.5,24.8,37.6,88177
서대문구,55253.527118526894,202,173,4439,2.8666666666666663,75.6,45.8,31.4,69.4,30.3,44.4,99017
마포구,52333.91345066316,501,423,9210,2.7333333333333334,76.7,41.9,26.5,69.6,25.9,40.3,123115
양천구,47710.58070626573,208,189,3921,2.7416666666666663,74.6,40.9,23.7,67.4,23.4,38.7,94762
강서구,28672.99001077487,413,318,6519,2.6416666666666666,75.3,42.9,26.4,66.1,25.5,38.8,102332
구로구,40555.61601626221,231,243,4806,2.75,70.6,40.5,26.0,64.9,24.9,38.3,105182
금천구,30684.08802825754,209,142,3517,2.725,74.6,40.6,23.4,66.2,23.0,35.8,100755
영등포구,45382.16419799899,402,330,7513,2.8416666666666663,76.6,44.7,29.3,66.4,28.7,40.5,96464
동작구,57358.71853815622,205,215,4329,2.958333333333333,74.0,45.7,29.5,71.5,28.9,44.6,104771
관악구,46404.17505146758,324,256,5730,2.675,73.0,38.0,24.4,64.2,24.1,38.1,98626
서초구,22481.272492082026,331,282,7515,2.95,76.5,46.7,29.2,69.2,28.7,42.0,118110
강남구,38360.6525144995,676,561,13155,2.75,75.0,42.7,29.2,68.7,28.7,40.7,141815
송파구,38939.0239223208,457,391,8237,2.7166666666666663,73.7,44.5,28.7,67.6,27.7,39.8,115451
강동구,46746.36498693433,293,258,5134,2.683333333333333,71.4,40.9,24.1,65.9,23.9,35.8,86943
